company_name,country,source
VOLKSWAGEN GROUP UNITED KINGDOM LIMITED,GB,orbis
ILLINOIS TOOL WORKS INC.,US,orbis
SEAT SAU,ES,orbis
DONGFENG MOTOR GROUP COMPANY LIMITED,CN,orbis
"GUANGZHOU AUTOMOBILE GROUP CO., LTD.",CN,orbis
"CHINA GRAND AUTOMOTIVE SERVICES CO., LTD.",CN,orbis
"ZHEJIANG HAOQING AUTOMOBILE MANUFACTURING CO., LTD.",CN,orbis
"ZHEJIANG GEELY HOLDING GROUP AUTOMOBILE SALES CO., LTD.",CN,orbis
"MERCEDES-BENZ (CHINA) AUTOMOBILE SALES CO., LTD.",CN,orbis
LKQ CORPORATION,US,orbis
"GAC TOYOTA MOTOR SALES CO., LTD.",CN,orbis
"SERES AUTO CO., LTD.",CN,orbis
SONIC AUTOMOTIVE INC,US,orbis
BORGWARNER INC,US,orbis
"HEFEI BYD AUTOMOBILE CO., LTD.",CN,orbis
"SHIYAN XINKE AUTO PARTS CO., LTD.",CN,orbis
CARVANA CO.,US,orbis
AUTOMOBILES PEUGEOT,FR,orbis
"CHONGQING SERES NEW ELECTRIC VEHICLE SALES CO., LTD.",CN,orbis
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,IN,orbis
KIA EUROPE GMBH,DE,orbis
INCHCAPE PLC,GB,orbis
SINOTRUK (HONG KONG) LIMITED,HK,orbis
TOYOTA BOSHOKU CORPORATION,JP,orbis
"VOLKSWAGEN SLOVAKIA, A.S.",SK,orbis
"LUCHENG HONGCHENG TRANSPORT CO., LTD.",CN,orbis
TOYOTA MOTOR ASIA (THAILAND) CO LTD,TH,orbis
XCMG CONSTRUCTION MACHINERY COMPANY LIMITED,CN,orbis
GESTAMP AUTOMOCION S.A.,ES,orbis
"LIUPANSHUI RUICHENG AUTOMOBILE SALES AND SERVICE CO., LTD.",CN,orbis
VOLVO LASTVAGNAR AKTIEBOLAG,SE,orbis
"DONGFENG MOTOR CO., LTD.",CN,orbis
"JINZHONG LITONG AUTOMOBILE SALES AND SERVICE CO., LTD.",CN,orbis
HYUNDAI MOTOR EUROPE GMBH,DE,orbis
"INNER MONGOLIA HAOLIE AUTOMOBILE SALES AND SERVICE CO., LTD.",CN,orbis
HINO MOTORS LTD,JP,orbis
"CHANGSHA BYD AUTO CO., LTD.",CN,orbis
SAIC GM WULING AUTOMOBILE COMPANY LIMITED,CN,orbis
"WUHAN HUALUN ELECTRONICS CO., LTD.",CN,orbis
"JM FAMILY ENTERPRISES, INC.",US,orbis
"ZHENGZHOU BYD AUTO CO., LTD.",CN,orbis
"HUBEI XINGLING SPECIAL GEARBOX CO., LTD.",CN,orbis
PON HOLDINGS B.V.,NL,orbis
OSHKOSH CORPORATION,US,orbis
"SAIC GM WULING AUTOMOBILE CO., LTD.",CN,orbis
ZEEKR INTELLIGENT TECHNOLOGY HOLDING LIMITED,KY,orbis
"AUTOLIV, INC.",US,orbis
"BEIJING LIDING AUTOMOBILE SALES CO., LTD.",CN,orbis
"YINJIANG TUJIA AND MIAO AUTONOMOUS COUNTY HONGDA AUTOMOBILE SALES CO., LTD.",CN,orbis
RHEINMETALL AG,DE,orbis
DANA INCORPORATED,US,orbis
VOLKSWAGEN GROUP FRANCE,FR,orbis
"JILIN PROVINCE HENGHAO TECHNOLOGY CO., LTD.",CN,orbis
"XIANGYANG HANHAI AUTOMOBILE SALES AND SERVICE CO., LTD.",CN,orbis
"XILIN GOL LEAGUE DELKANG TRADING CO., LTD.",CN,orbis
"HUBEI HUAWEISIBO ENVIRONMENTAL ENGINEERING CO., LTD.",CN,orbis
"XI'AN BOLIAN AUTOMOBILE SALES CO., LTD.",CN,orbis
GM KOREA COMPANY LTD,KR,orbis
BMW CHINA AUTOMOTIVE TRADING LTD.,CN,orbis
DONGFENG MOTOR COMPANY LIMITED DONGFENG NISSAN PASSENGER VEHICLE COMPANY,CN,orbis
"THOR INDUSTRIES, INC.",US,orbis
"CHONGQING LI AUTO AUTOMOBILE CO., LTD. CHANGZHOU BRANCH",CN,orbis
"GAC HONDA AUTOMOBILE CO., LTD.",CN,orbis
"JIANGLING MOTORS GROUP CO., LTD",CN,orbis
NISSAN MOTOR MANUFACTURING (UK) LIMITED,GB,orbis
AUDI HUNGARIA ZARTKORUEN MUKODO RESZVENYTARSASAG,HU,orbis
AUTOMOBILES CITROEN,FR,orbis
NIO INC.,KY,orbis
NIO INC.,KY,orbis
"TOYOTA MOTOR KYUSHU,INC.",JP,orbis
"SAIC GENERAL MOTORS SALES CO., LTD.",CN,orbis
TESLA MANUFACTURING BRANDENBURG SE,DE,orbis
"DONGFENG NISSAN AUTO SALES CO., LTD.",CN,orbis
