ipcei_name,sa_case,approval_date,total_state_aid_eur,total_private_eur,n_companies,n_member_states,sector
Batteries 1,SA.54794,2019-12-09,3200000000,5000000000,17,7,batteries
Batteries 2 (EuBatIn),SA.55831,2021-01-26,2900000000,8800000000,42,12,batteries
Microelectronics 1,SA.46705,2018-12-18,1900000000,6500000000,32,5,microelectronics
Microelectronics 2 (ME-CT),SA.101129,2023-06-08,8100000000,13700000000,56,14,microelectronics
Hy2Tech,SA.64647,2022-07-15,5400000000,9000000000,35,15,hydrogen
Hy2Move,SA.104676,2024-05-28,1400000000,3300000000,11,7,hydrogen_mobility
